"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","calculated_elevation_range","calculated_elevation_range_label","calculated_aspect","calculated_aspect_label","calculated_slope","calculated_slope_label","disturbance","year","comment"
"39","EPSG:4326","8.340383083","51.07476396","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"40","EPSG:4326","8.217770201","51.10512951","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"41","EPSG:4326","8.373041381","51.11347218","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"42","EPSG:4326","8.460689116","51.03947098","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","true",,"2018"
"43","EPSG:4326","8.417876555","50.9690186","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"44","EPSG:4326","7.927107633","51.1684871","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"45","EPSG:4326","8.365287604","51.10885244","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
"46","EPSG:4326","8.178618941","51.11092776","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,"vor 2017"
"47","EPSG:4326","8.316910769","51.00813024","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,"Lärche oder doch tot?"
"48","EPSG:4326","8.445781884","51.02251764","wiesehahn","0","0.0","0.0","true","2019","11","27","sample_dop2019.csv","0","-100 / 0","na","N/A","FLAT","0-5 °","false",,
